Date,FileSize_KB,MySQL_Measurement_Index,MySQL_Measurement
25/4,9113.6,7202.8,6753.5
26/4,11264,9355.3,8181.6
27/4,11264,9849.8,8353.1
28/4,12288,10303.3,8808.4
29/4,13312,11321.7,9949.3
30/4,13312,11592.5,10066.3
2/5,344,886,953.4
3/5,880,1568.89,1161.89
4/5,1331.2,1711.9,1457.2
5/5,1740.8,1972.6,1714.5
6/5,2252.8,2336.3,2036.6
7/5,2662.4,2754.6,2289.7
8/5,3072,3008.7,2673.6
9/5,3481.6,3389.1,2907.6
10/5,3891.2,3756.7,3204.8
11/5,4403.2,4188.9,3582.7
12/5,4812.8,4460,3857.2
13/5,5222.4,4932.8,4228.7
14/5,5632,5197.9,4644
15/5,6041.6,5693.2,4799.1
16/5,6451.2,5938.9,5068.6
17/5,6860.8,6330.8,5318
18/5,7270.4,6799.1,5855.4
19/5,7680,7185.4,6013.3
20/5,8089.6,7500.7,6218.5
21/5,8499.2,7920.2,6801.1
22/5,8908.8,8090.9,6804.2
23/5,9523.2,8822.6,7330.5
24/5,10035.2,9237.5,7995
25/5,11264,9965.9,8090.8
26/5,11264,10098.3,8423.5
27/5,12288,10504.8,8702.3
28/5,12288,11170.1,9227.5
29/5,12288,11334.1,9529.1
30/5,13312,11988.5,10468.7
31/5,13312,12352,10248.2
1/6,28,853.8,868.1
2/6,460,1412.9,1021.3
3/6,920,1613.68,1322.6
4/6,1433.6,1893.5,1599.39
5/6,1843.2,2296.5,1890.1
6/6,2252.8,2565.2,2229.4
7/6,2764.8,3183.8,2497.7
8/6,3174.4,3475.1,2896.7
9/6,3584,3879,3279.4
10/6,4096,4164.3,3502.2
11/6,4096,4168.2,3446
12/6,4915.2,4801.1,4196.7
13/6,5427.2,5270.7,4543.9